               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.039158,             0.15069,                   0,             0.87023,             0.80165,             0.85809,             0.46338,            0.041587,             0.18418,                   0,             0.00505,             0.00505,             0.00505
                  77,            0.038994,             0.14934,                   0,             0.87374,              0.7991,             0.85962,               0.466,            0.041534,             0.18415,                   0,            0.004984,            0.004984,            0.004984
                  78,            0.038693,              0.1471,                   0,             0.87224,             0.79933,             0.85449,             0.45978,            0.041633,             0.18388,                   0,            0.004918,            0.004918,            0.004918
                  79,            0.038655,             0.14791,                   0,             0.87736,             0.79618,             0.85785,             0.46522,            0.041519,             0.18404,                   0,            0.004852,            0.004852,            0.004852
                  80,            0.038525,             0.14946,                   0,             0.87153,             0.80077,             0.86064,             0.46803,            0.041449,             0.18297,                   0,            0.004786,            0.004786,            0.004786
                  81,            0.038382,             0.14903,                   0,             0.87491,             0.80203,             0.85804,             0.46634,            0.041394,             0.18393,                   0,             0.00472,             0.00472,             0.00472
                  82,             0.03845,             0.14775,                   0,              0.8748,             0.80138,             0.85744,             0.46638,            0.041317,             0.18348,                   0,            0.004654,            0.004654,            0.004654
                  83,            0.038227,             0.14654,                   0,             0.87793,             0.79842,             0.86015,             0.47034,             0.04117,             0.18347,                   0,            0.004588,            0.004588,            0.004588
                  84,            0.038606,             0.15026,                   0,             0.87603,             0.80074,             0.85885,             0.46918,            0.041391,             0.18403,                   0,            0.004522,            0.004522,            0.004522
                  85,            0.038268,             0.14681,                   0,             0.87667,             0.80435,             0.86006,             0.47035,            0.041199,             0.18337,                   0,            0.004456,            0.004456,            0.004456
                  86,            0.038335,             0.14804,                   0,             0.87653,             0.80302,             0.85891,              0.4702,            0.041274,             0.18314,                   0,             0.00439,             0.00439,             0.00439
                  87,            0.038395,             0.14627,                   0,              0.8768,             0.80206,             0.85987,             0.47131,            0.041198,             0.18363,                   0,            0.004324,            0.004324,            0.004324
                  88,            0.038238,              0.1463,                   0,             0.88663,             0.79558,             0.86216,             0.47493,            0.041163,             0.18235,                   0,            0.004258,            0.004258,            0.004258
                  89,            0.037879,               0.144,                   0,             0.88441,             0.80133,             0.86157,             0.47727,            0.041163,             0.18311,                   0,            0.004192,            0.004192,            0.004192
                  90,            0.038128,             0.14689,                   0,             0.88326,             0.80124,              0.8627,             0.47759,            0.041096,             0.18238,                   0,            0.004126,            0.004126,            0.004126
                  91,            0.037944,             0.14626,                   0,             0.88674,             0.79901,             0.86332,             0.47836,            0.040973,              0.1819,                   0,             0.00406,             0.00406,             0.00406
                  92,            0.037751,             0.14433,                   0,             0.87738,              0.8038,             0.86124,             0.47533,            0.041079,             0.18208,                   0,            0.003994,            0.003994,            0.003994
                  93,            0.037874,             0.14639,                   0,              0.8871,             0.80019,             0.86437,              0.4808,            0.040869,             0.18146,                   0,            0.003928,            0.003928,            0.003928
                  94,            0.037801,             0.14533,                   0,             0.88753,             0.80584,             0.86516,             0.48067,            0.040914,             0.18165,                   0,            0.003862,            0.003862,            0.003862
                  95,            0.037584,             0.14397,                   0,             0.88337,             0.80238,             0.86282,              0.4808,            0.040945,             0.18216,                   0,            0.003796,            0.003796,            0.003796
                  96,            0.037653,             0.14238,                   0,              0.8881,             0.80827,             0.86557,             0.48347,            0.040785,             0.18247,                   0,             0.00373,             0.00373,             0.00373
                  97,            0.037198,             0.14439,                   0,             0.88542,             0.80681,             0.86672,             0.48369,            0.040783,             0.18273,                   0,            0.003664,            0.003664,            0.003664
                  98,            0.037472,             0.14458,                   0,             0.88884,              0.8052,             0.86465,             0.48108,            0.040685,             0.18179,                   0,            0.003598,            0.003598,            0.003598
                  99,            0.037468,             0.14489,                   0,             0.88635,             0.80321,             0.86755,             0.48588,            0.040611,             0.18135,                   0,            0.003532,            0.003532,            0.003532
                 100,            0.037275,             0.14234,                   0,             0.88646,             0.80692,             0.86748,             0.48685,            0.040623,             0.18199,                   0,            0.003466,            0.003466,            0.003466
                 101,            0.037087,             0.14415,                   0,             0.88981,             0.80729,             0.86716,             0.48803,            0.040514,             0.18204,                   0,              0.0034,              0.0034,              0.0034
                 102,            0.037011,              0.1417,                   0,             0.88564,             0.80704,             0.86735,             0.48922,            0.040483,             0.18127,                   0,            0.003334,            0.003334,            0.003334
                 103,             0.03696,             0.14126,                   0,             0.88682,             0.80625,             0.86571,             0.48646,            0.040596,             0.18253,                   0,            0.003268,            0.003268,            0.003268
                 104,            0.037056,             0.14084,                   0,             0.88861,             0.80448,             0.86581,             0.48742,            0.040547,             0.18157,                   0,            0.003202,            0.003202,            0.003202
                 105,            0.037028,             0.14123,                   0,             0.89649,              0.8032,             0.86806,             0.49014,            0.040524,             0.18194,                   0,            0.003136,            0.003136,            0.003136
                 106,            0.036899,             0.14117,                   0,             0.89074,             0.80895,             0.86729,             0.48866,            0.040455,             0.18143,                   0,             0.00307,             0.00307,             0.00307
                 107,            0.036852,              0.1404,                   0,             0.89289,             0.80877,              0.8667,             0.49002,            0.040416,             0.18149,                   0,            0.003004,            0.003004,            0.003004
                 108,            0.036866,              0.1419,                   0,             0.89142,              0.8065,             0.86548,             0.48989,            0.040467,             0.18134,                   0,            0.002938,            0.002938,            0.002938
                 109,            0.036676,             0.13944,                   0,             0.89004,             0.81073,             0.86706,             0.49134,            0.040381,             0.18115,                   0,            0.002872,            0.002872,            0.002872
                 110,            0.036938,             0.14087,                   0,             0.89211,             0.81215,               0.867,              0.4925,            0.040308,             0.18115,                   0,            0.002806,            0.002806,            0.002806
                 111,             0.03692,             0.14371,                   0,             0.89451,             0.81192,             0.86913,             0.49289,            0.040359,             0.18055,                   0,             0.00274,             0.00274,             0.00274
                 112,            0.036555,             0.14126,                   0,              0.8929,             0.80809,             0.86775,             0.49524,            0.040258,             0.18108,                   0,            0.002674,            0.002674,            0.002674
                 113,             0.03635,             0.13771,                   0,             0.89667,             0.80613,             0.86939,             0.49661,            0.040242,             0.18047,                   0,            0.002608,            0.002608,            0.002608
                 114,            0.036367,             0.13787,                   0,             0.89362,             0.81031,             0.86949,             0.49608,            0.040137,             0.18093,                   0,            0.002542,            0.002542,            0.002542
                 115,            0.036532,             0.14096,                   0,             0.89167,             0.81297,             0.86915,             0.49611,            0.040273,              0.1814,                   0,            0.002476,            0.002476,            0.002476
                 116,            0.036409,             0.13853,                   0,             0.89656,             0.80993,             0.86982,             0.49798,            0.040148,             0.18052,                   0,             0.00241,             0.00241,             0.00241
                 117,            0.036322,             0.14171,                   0,             0.89672,             0.81082,             0.87189,             0.50153,            0.040023,             0.18052,                   0,            0.002344,            0.002344,            0.002344
                 118,            0.036174,             0.13716,                   0,             0.89659,             0.80959,             0.86762,             0.49813,            0.040134,             0.18144,                   0,            0.002278,            0.002278,            0.002278
                 119,            0.035847,              0.1361,                   0,              0.8978,             0.80687,             0.86892,             0.50025,            0.040132,             0.18166,                   0,            0.002212,            0.002212,            0.002212
                 120,            0.036145,             0.13749,                   0,              0.8973,             0.80913,             0.87015,             0.50119,            0.040058,             0.18082,                   0,            0.002146,            0.002146,            0.002146
                 121,            0.035955,             0.13586,                   0,             0.89719,             0.80667,             0.87009,             0.50282,            0.040054,             0.18022,                   0,             0.00208,             0.00208,             0.00208
                 122,             0.03601,             0.13742,                   0,             0.89931,             0.80688,             0.86983,              0.5025,            0.040027,              0.1809,                   0,            0.002014,            0.002014,            0.002014
                 123,            0.035908,             0.13708,                   0,             0.90043,             0.80921,             0.87036,             0.50236,            0.039945,             0.18102,                   0,            0.001948,            0.001948,            0.001948
                 124,            0.036083,             0.13659,                   0,             0.89662,             0.81206,             0.87128,             0.50402,            0.039965,             0.18059,                   0,            0.001882,            0.001882,            0.001882
                 125,            0.035793,             0.13633,                   0,             0.89801,             0.81192,             0.87245,             0.50602,            0.039979,             0.18066,                   0,            0.001816,            0.001816,            0.001816
                 126,            0.035787,               0.137,                   0,             0.90423,             0.81014,             0.87253,              0.5071,            0.039936,             0.18042,                   0,             0.00175,             0.00175,             0.00175
                 127,             0.03567,              0.1371,                   0,             0.90273,             0.80973,             0.87172,              0.5073,             0.03982,             0.18049,                   0,            0.001684,            0.001684,            0.001684
                 128,            0.035536,             0.13682,                   0,             0.90277,             0.81018,             0.87131,             0.50723,            0.039828,             0.18127,                   0,            0.001618,            0.001618,            0.001618
                 129,            0.035568,             0.13481,                   0,             0.89797,             0.81197,             0.87137,             0.50744,            0.039804,             0.18095,                   0,            0.001552,            0.001552,            0.001552
                 130,            0.035612,             0.13598,                   0,             0.90219,             0.81137,             0.87259,             0.50887,            0.039759,             0.18121,                   0,            0.001486,            0.001486,            0.001486
                 131,            0.035627,             0.13447,                   0,             0.90123,             0.81192,             0.87067,             0.50787,            0.039783,             0.18093,                   0,             0.00142,             0.00142,             0.00142
                 132,             0.03544,             0.13544,                   0,             0.90455,             0.80986,             0.87305,             0.51115,            0.039654,             0.18141,                   0,            0.001354,            0.001354,            0.001354
                 133,            0.035071,             0.13193,                   0,             0.90078,             0.81201,             0.87245,             0.51078,            0.039683,             0.18155,                   0,            0.001288,            0.001288,            0.001288
                 134,             0.03533,             0.13362,                   0,             0.90124,             0.81028,             0.87217,             0.51058,            0.039674,             0.18129,                   0,            0.001222,            0.001222,            0.001222
                 135,            0.035451,             0.13458,                   0,             0.90095,              0.8122,             0.87343,             0.51112,            0.039674,             0.18106,                   0,            0.001156,            0.001156,            0.001156
                 136,            0.035028,             0.13189,                   0,             0.90284,             0.81078,             0.87317,             0.51234,            0.039683,              0.1815,                   0,             0.00109,             0.00109,             0.00109
                 137,            0.035027,              0.1323,                   0,             0.90446,              0.8095,             0.87312,             0.51226,            0.039669,             0.18083,                   0,            0.001024,            0.001024,            0.001024
                 138,            0.035045,             0.13338,                   0,             0.90796,              0.8098,             0.87391,             0.51352,            0.039564,             0.18059,                   0,            0.000958,            0.000958,            0.000958
                 139,            0.034877,             0.13117,                   0,             0.90468,             0.81283,             0.87455,             0.51496,             0.03955,             0.18032,                   0,            0.000892,            0.000892,            0.000892
                 140,            0.034966,             0.13313,                   0,             0.90599,             0.81091,             0.87358,             0.51462,            0.039572,              0.1811,                   0,            0.000826,            0.000826,            0.000826
                 141,            0.034962,             0.13196,                   0,             0.90509,             0.81192,             0.87315,             0.51417,            0.039561,             0.18126,                   0,             0.00076,             0.00076,             0.00076
                 142,            0.034762,             0.13107,                   0,             0.90658,             0.81041,             0.87366,             0.51587,            0.039551,             0.18117,                   0,            0.000694,            0.000694,            0.000694
                 143,            0.034733,             0.13052,                   0,             0.90657,             0.81197,             0.87437,             0.51693,            0.039547,             0.18159,                   0,            0.000628,            0.000628,            0.000628
                 144,            0.034646,             0.12937,                   0,             0.90643,             0.81178,             0.87352,             0.51641,             0.03954,             0.18166,                   0,            0.000562,            0.000562,            0.000562
                 145,            0.034807,             0.13175,                   0,             0.90768,             0.80996,             0.87377,             0.51638,            0.039481,             0.18189,                   0,            0.000496,            0.000496,            0.000496
                 146,            0.034759,             0.13015,                   0,             0.90526,              0.8121,             0.87389,             0.51741,            0.039473,             0.18167,                   0,             0.00043,             0.00043,             0.00043
                 147,            0.034435,             0.13022,                   0,             0.90577,             0.81114,             0.87377,              0.5175,             0.03944,             0.18168,                   0,            0.000364,            0.000364,            0.000364
                 148,            0.034639,             0.13042,                   0,             0.90353,             0.81324,             0.87407,             0.51842,             0.03943,             0.18182,                   0,            0.000298,            0.000298,            0.000298
                 149,            0.034866,             0.13043,                   0,             0.90287,             0.81474,             0.87466,             0.51902,            0.039417,             0.18156,                   0,            0.000232,            0.000232,            0.000232
